video_id,comment_id,parent_comment_id,author,content,likes,created_time,collection_time
ftQZo7XaTOA&t=1231s,A5XmAoKlQWnA5jRSDfNQvq,UgzmmWhittcJXJP7HZ14AaABAg,@키_작은_꼬마,육아에 일까지...대단하십니다!!,3,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5XmAoKlQWnA5zfcvbsqvz,UgzmmWhittcJXJP7HZ14AaABAg,@kkchong21,@키_작은_꼬마  다정한 말씀 감사합니다!!,3,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5XmAoKlQWnA5zgCp7e3P9,UgzmmWhittcJXJP7HZ14AaABAg,@키_작은_꼬마,@kkchong21   육아에 일까지 병행하시는 분 앞에서 그냥 취준생으로서 너무 늦은거 아닌가라는건 오만한 생각이였다는걸 다시 깨닫게 해주시네요!! 파이썬 마스터 하시길 바랍니다,1,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgzzThnAwlfUYFIVeD14AaABAg,,@민철강,컴퓨터를 아무것도 모르는 사람이 봐도 이해가 빠르고 좋네요!!!!! 감사합니다,1,2주 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgynXwkb-JImhwISSu14AaABAg,,@NickName-o2e,"아주좋네요 감사합니다 초급으로 많이좀 올려주세요
금융회사인데 업무 자동화 혹은 디비로 대시보드 만들거나 뭐ㅜ등등 파이선 많이 사용해서 배우라는데 코딩 여러거지 고등수준정도는 허지만 오랜만에 해보니 쉽지않네요 회사에서 써먹을수잇는 강의도 부탁드립니다",1,2개월 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgwxxtPdYRHDW9CI9554AaABAg,,@andropler,"이틀간 2배속으로 정주행으로 완강했습니다. 감사합니다.
06:20:37 부분부터 립싱크가 안맞는 문제가 있네요. 통합본이 아닌 개별 5장 영상에서는 잘 나옵니다.
그리고 이건 사소한거지만.. 클래스 변수 설명하실때 a.lastname = ""박"" 으로 바꾼건 클래스변수와 동일한 이름의 지역변수가 생성된거라서 b 와 c 에 영향을 주지 않는건데 설명이 조금 모호했다고 생각합니다.",6,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgxTYt4gYHdadE8JLxB4AaABAg,,@BUNGKOOKI,"코딩은 전혀 모르는  회사원으로써 gpt때문에 조코딩 유튜버를 알게 되고  매주 일요일! 휴일의 마무리로 여러 소식들을 보고 있습니다
뭔가  취미나 회사일 그리고, 일상 생활에 gpt와 파이썬을 연계해서 도움이 되는 것이 있지 않을까?! 라는 생각에 배워보고 싶었습니다! 
나이가 많아 이해가 잘 될지 모르지만 좋은기회에 유튜브 강의를 통해서  잘 배워 나갈 수 있길 바랍니다 ㅎㅎ 모르는건 gpt에게 물어보며 공부해야겠네요  좋은 강의 감사합니다",3,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,Ugw8eRjjpaHlqPGv2yJ4AaABAg,,@20918이정우,개발자라는 꿈을 뒤늦게 깨달은 고등학생입니다. 학교에는 아직 정보 과목이 개설되지 않아 가장 대중적인 언어인 파이썬을 유튜브 강의를 통해 학습해보자는 생각에서 강의를 찾다가 조코딩님의 강의를 발견하게 되었습니다. 저같이 기본이 부족한 사람들에게도 친절한 강의에 저는 많은 도움을 얻을 수 있었습니다. 만약 제게 교재를 선물해주신다면 선물해주신 그 마음이 아깝지 않도록 열심히 공부해서 좋은 결과로 보답드리겠습니다,6,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,A5aTVe3zjr1AFjknI0dMeI,Ugw8eRjjpaHlqPGv2yJ4AaABAg,@chongminao6702,"고등학생이 뒤늦게 깨달은거라니,
의대를 준비해도 늦지 않은 나이인데",1,8개월 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgwzRd5drZ9rEBalXRl4AaABAg,,@TurtleWorld-p9g,대학교 1학년입니다 조코딩 체널을 보면서 코딩의 활용도가 굉장히 높다는 것을 느꼈고 영어처럼  빨리 배울수록 이득이라는 생각이 들었습니다. 그래서 이번 방학에 파이썬을 공부하고 있습니다. 하루도 빠짐없이 하겠습니다! 그리고 항상 좋은 영상 만들어주셔서 감사합니다,1,1년 전(수정됨),2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,Ugxw-Bpx8hm2z4Q7HTh4AaABAg,,@gjsong0225,앞으로 AI와 파이썬은 반드시 공부해야 할 내용이라고 판단되어 늦었지만 시작하려고 찾던 차에 유튜브에서 조코딩님을 만나 기초를 배웁니다. IT개통에 있으면서 AI가 붙지 않으면 솔루션에 관심을 안 갖는 상황을 맞이하고 있는 현실에 아주 훌륭한 강의라고 생각합니다. 앞으로 10년~20년 공부하는 시작점으로 삼고자 합니다. 좋은 강의 감사합니다.,5,1년 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgwlQ7cMTf5RMcd-iW14AaABAg,,@Eoeurue,감사합니다 덕분에 자바스크립트를 마스터 하게 되어 나사에 입사하게 되었습니다,5,3주 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,AOeFKAUYBH3AP8u1mJ66W6,UgwlQ7cMTf5RMcd-iW14AaABAg,@user-master2012,ㅋㅋ,0,2주 전,2025-11-20 13:13:20
ftQZo7XaTOA&t=1231s,UgyYKatRwOiiGElRSCR4AaABAg,,@아무러케amuluke,"다른데서 파이썬 강의 듣다가 먼소린지 몰라서 왔는데 가르치는데 이렇게 차이날수가.. 진짜 자세하고 적절한 비유나 질, 티칭실력이 장난 아니십니다.",1,4개월 전,2025-11-20 13:13:20
