author,comment,published,likeCount,reply_to
@JoongAhn127,while 공부중!,2024-08-06T20:21:58Z,1,@JoongAhn127
@JoongAhn127,for구문 range 시작!,2024-08-09T19:14:17Z,0,@JoongAhn127
@채널만들기이름입니다,1:57:11,2024-07-24T00:05:59Z,1,
@user-rk6hi4pl5x,51:50 까지,2024-07-22T02:23:33Z,0,
@김태훈-g8j,6:21:11부터 말하려는 내용의 영상이 없습니다.,2024-07-17T14:00:29Z,8,
@hyun6124-t5r,"저도 제 컴이 이상한 줄 알았습니다.
근데 사파리/크롬 모두 그러길래 저만 그런가 하고 봤더니 영상이 깨져있는거군요...",2024-12-21T02:04:01Z,0,@김태훈-g8j
@JDG-g7z,"조코딩님 일단 초심자입장에서 너무감사합니다라고 말씀시작하겠습니다
하지만 문제가있습니다
패키지부분부터 뭔가 편집이안맞는느낌이듭니다
아무리봐도 뭔가더 헷갈려서 어느순간엔 그냥 귀로만듣게되요 그부분은..",2024-07-17T09:45:52Z,1,
@tobethelight963,파이썬 시작 이 강의로 시작합니다 고맙습니다,2024-07-17T01:45:42Z,0,
@youngjunlee5028,감사합니다.   이번에 책 선물받았습니다.  책도 영상도 열심히 볼께요 😊❤,2024-07-16T11:58:35Z,0,
@jwpn5237,1:26:23 까지,2024-07-15T09:16:24Z,0,
@JKmediaable,파이썬을 공부해보겠다고 다짐한 것만 10번이 넘는데 이번에는 꼭 배워보고 싶습니다!! 아자~!,2024-07-14T10:13:02Z,0,
@shouting252,5:29:21,2024-07-14T10:10:25Z,0,
@youngjunlee5028,"AI시대, 주말 강의 듣는데 넘 어려워 강의자료 찾다가 역시 조코딩님이다. 라고 들어와 보니 이런 귀중한 영상이 있네요. 
IT기획자이며, 핀테크쪽을 기획하고자 하는데, 파이썬 공부로 어떤 원리로 만들어져야 하는지 알 수 있는 기회가 될 것이고. 
올해 말에는 코딩을 할 수 있는 기획자가 되어 있을 수 있도록 하겠습니다. 

감사합니다.",2024-07-14T06:51:18Z,3,
@에어프레미아,파이썬 공부 해봐야겠네요 재밌을거같아요!,2024-07-13T15:07:45Z,0,
@druwatv,늦은 나이에 전산업무를 시작하는 늦깍이 전산쟁이입니다. 25년직장생활중 새롭게 시작한 전산업무~ 직장에서 살아남기 위해 전문적인 공부가 필요하다 생각되어 무엇이 필요한가 싶어 여기까지 오게 된거 같습니다. 처음에는  네트워크 구조에 대해서 공부하다가 여기까지 오게 되었는데요 파이썬을 공부하면 업무와 비교하여 무엇에 도움이 될수 있을까라는 고민도 하게 되었고 그 답을 조코딩님 채널에서 찾은듯 하네요~봉사문고리 잡은격이라고 할까요? 눈을 뜨게 해준 조코딩님께 감사한 마음이 듭니다. 부끕럽지만 이벤트도 조심스럽게 참여해봅니다. 감사합니다.,2024-07-13T14:17:58Z,0,
@T1.forever,현재 다른 직무로 8년간 일하고 있는 중인데 데이터 쪽으로 일하고자 공부하고 있어요 (대학교도 입학신청했는데 합격했으면 좋겠네요 ㅠ)우선 파이썬 먼저 공부하려는데 이렇게 좋은 강의가 무료로 있다니 😊 너무 좋네요 현재 함수부터 뭔가 어려운데 🥲 여러번 돌려봐서 기초부터 꼭 탄탄하게 다져야겠어요 모두 다같이 열심히 파이팅 넘치게 공부합시다🎉,2024-07-13T10:44:26Z,0,
@MulSoRyne,파이썬 어려워요 ㅠㅠ  도와주세요!!!,2024-07-13T10:25:34Z,0,
@longtailmonkey,"파이썬을 공부하고 싶어요! 이번 기회를 통해 기본부터 차근차근 배워보려고 합니다. 데이터 분석이나 웹 개발 등 다양한 분야에서 파이썬을 활용할 수 있어서 매력적이에요. 매일 조금씩 공부하면서 실력을 쌓아가겠습니다. ""Do it! 점프 투 파이썬"" 책을 통해 체계적인 학습을 할 수 있다면 정말 좋겠어요. 파이썬의 매력에 빠져서 더 멋진 프로그래머가 되는 그날까지 화이팅입니다!",2024-07-13T02:06:54Z,0,
@longtailmonkey,"파이썬을 공부하고 싶어요! 이번 기회를 통해 기본부터 차근차근 배워보려고 합니다. 데이터 분석이나 웹 개발 등 다양한 분야에서 파이썬을 활용할 수 있어서 매력적이에요. 매일 조금씩 공부하면서 실력을 쌓아가겠습니다. ""Do it! 점프 투 파이썬"" 책을 통해 체계적인 학습을 할 수 있다면 정말 좋겠어요. 파이썬의 매력에 빠져서 더 멋진 프로그래머가 되는 그날까지 화이팅입니다!",2024-07-13T02:06:36Z,0,
@mohi_study3371,"Oh hello again dear mr.jo 🙏🏻 oh python very good thank you🙏🏻
Mr_jo=10
Mohi_study=10
if Mr_jo>Mohi_study:
    Print(""dont learn advance python"")
elif Mr_jo==Mohi_study:
       Print(""ok we learn advance python"")
   And but terminal:
Ok we learn advance python

I speak just python no english😉😎",2024-07-12T23:05:05Z,0,
@9cucumber418,중간에 화면이 멈추고 소리만 나오는데 저만 그런가요? 6:21:34 확인 부탁드립니다.,2024-07-12T09:56:05Z,2,
@enos9149,"사랑하는 쌍둥이 아이들을 키우는 아버지로서, 파이썬 프로젝트 공부에 대한 다짐을 이렇게 적어봅니다:
""아빠의 두 눈동자처럼 소중한 우리 쌍둥이들아, 너희를 위해 아빠가 새로운 도전을 시작한다. 파이썬 프로젝트 공부, 이것은 단순한 코딩 공부가 아니야. 이는 너희의 미래를 위한 아빠의 투자란다.
밤늦게 젖병을 물리며 코딩하고, 기저귀 갈며 알고리즘을 생각하겠어. 너희가 잠든 사이 조용히 키보드를 두드리며, 너희의 웃음소리만큼 아름다운 코드를 만들어낼 거야.
때론 힘들겠지. 너희를 돌보며 공부하는 게 쉽지만은 않겠지. 하지만 너희가 첫 걸음마를 뗄 때처럼, 나도 한 걸음 한 걸음 나아갈 거야. 넘어져도 다시 일어나고, 에러가 나도 다시 도전하며.
이 공부로 더 나은 미래를, 더 넓은 기회를 너희에게 줄 수 있길 바란다. 너희가 자랑스러워할 아빠가 되고 싶어. 그리고 언젠가 너희와 함께 멋진 프로젝트를 만들 그 날을 꿈꾸며, 오늘도 힘차게 시작해본다.",2024-07-12T06:12:03Z,1,
@wist000,고등학교때부터 막연하게 프로그래밍 언어를 공부해야지 라는 생각으로 여러번 시도하였지만 작심3일을 넘기지 못하였습니다. 이번에  휴직을 하게되어 마음잡고 이산을 넘어보려고 합니다. 이번에는 꼭꼭 끝까지 공부해 보겠습니다. 좋은 컨텐츠 만들어 주셔서 감사합니다!!!,2024-07-11T16:11:01Z,0,
@insaneah6714,"데이터를 요리조리 바꾸고 관련지어보고 표현하는게 좋았던 경험에 파이썬을 더 세밀하게 다시 보고 싶어졌습니다. 전공도 관련없고 독학을 해야하고 또 그렇게 하고싶은 제게 이런 시의적절한 기회가 있어 영광일따름입니다. 저같은 사람이 있을까, 제가 보지 못한 곳에서 힘내주시는 분들께 정말 감사드리며 제 말한마디가 그분들께 보람과 기쁨을 선사하길 간절히 바랍니다.
진심으로 감사합니다.",2024-07-11T15:02:54Z,1,
@yun0603,취미로 파이썬 배우고자 하는데 좋은 강의 감사합니다 맥 버전 찾기가 참 힘드네요 ㅠ 윈도우랑 환경설정하는게 다르다보니 찾기가 힘들어요..,2024-07-11T14:03:39Z,0,
@szszsz1002,꿈이 개발자인 고1학생입니다. 같은 코딩동아리 선배가 이채널 추천해주셔서 보고있는데 정말 도움많이받고 있습니다  파이썬 마스터 하는 날까지 열심히 배워보겠습니다. 조코딩님 화이팅,2024-07-11T13:54:57Z,0,
@Mari-kt5zq,"파이썬 기초강의를 유튜브에서 많이 찾아보았는데, 가장 최근의 영상이 없고, 보통 3~4년 전의 기초 강의가 많더라구요. 지난주 까지는 4년 전에 다른 분이 올린 강의로 공부하다가, 이번주부터 점프 투 파이썬 해당 영상으로 공부를 다시 시작하였습니다. 위키닥스로 예제도 같이 있어서, 일일히 vs code에 타이핑하지 않아도 되고, 또 궁금한 사항은 책으로 앞뒤로 펼쳐가며 볼 수 있어서 멀티채널로 공부하는 느낌입니다. 우선 이 영상 끝까지 예제 연습하면서 실행도 해보고, 잘 따라서 배워보겠습니다.",2024-07-11T13:15:41Z,2,
@dyj5824,쌩문과생입니다. 그런데 박사과정을 IT분야로 와 버려서 당장 파이썬이 필요하게 될 줄은 상상도 못했네요. 5년 전에 혹시 몰라 파이썬을 독해 봤는데 결국 Hello World가 Bye World가 돼 버려 조금은 두렵습니다. 그래도 발등에 불이 떨어졌으니 이번엔 무.조.건 점프 투 파이썬과 함께 차근차근 도장을 깨 보겠습니다!,2024-07-11T11:54:30Z,2,
@gjsong0225,앞으로 AI와 파이썬은 반드시 공부해야 할 내용이라고 판단되어 늦었지만 시작하려고 찾던 차에 유튜브에서 조코딩님을 만나 기초를 배웁니다. IT개통에 있으면서 AI가 붙지 않으면 솔루션에 관심을 안 갖는 상황을 맞이하고 있는 현실에 아주 훌륭한 강의라고 생각합니다. 앞으로 10년~20년 공부하는 시작점으로 삼고자 합니다. 좋은 강의 감사합니다.,2024-07-11T08:27:56Z,5,
@김태훈-b2i1c,"책없는분은 위키독스에서 보라고 했는데 위키독스 링크가 없네요  
위키독스 링크를 알려 주세요",2024-07-10T14:39:38Z,0,
@jocoding,고정 댓글에 있습니다!,2024-07-10T14:49:42Z,0,@김태훈-b2i1c
@leearina8287,7년 전에 파이썬 공부했었는데 다 까먹었어요 ㅠ 눈이 침침해지는 요즘 그래도 점프 투 파이썬과 다시 시작해보렵니다~ 잘 부탁드려요!,2024-07-10T01:35:08Z,4,
@zonge18,학교에서 c언어 배울때도 어려움을 많이 느꼈는데 이번에 조코딩님 강의로 파이썬 잘 배울 수 있을까 생각했지만 열심히 배워보려합니다 좋은 영상 감사합니다!,2024-07-10T00:37:37Z,0,
@Jenn-bq9cs,"직장인으로서 뭔가 전환점이 필요하다는 생각을 했습니다. 조코딩님의 강의 들으면서 성취감 갖고 새로운 분야 공부하고 도전해보고 싶어요!
코딩으로 업무능력 향상, 내가 원하는 툴 제작 등 해보고 싶습니다!",2024-07-09T12:58:28Z,1,
@HYAR0505,"40대 후반의 나이에 AI 공부와 함께 프로그래밍이 개념 공부가 꼭 필요 한거 같아 한번 도전 중입니다. 
조코딩님 채널로 부터 AI 관련 소식도 많이 듣고 있고, 작년도 파이썬 강의가 있는 것을 보고 두달 전에 23년도 판으로 구매해서 예전 영상을 보면서 공부 하고 있었는데, 의욕 만큼 진도를 못 내고 있었네요. 
2024 통합본 소식과 함께 강의를 정 주행 해서  파이썬 기초를 꼭 마스터 해보겠습니다.",2024-07-09T06:57:34Z,0,
@full8065,"파이썬을 통하여 객체지향, 자료구조,알고리즘을 배우면서 훌륭한 프로그래머로써 성장하고 싶습니다. 그런 꿈을 키우기 위해 파이썬을 배우는 도중 조코딩님을 뵙게 되었고 이번 이벤트를 통하여 더 나은 프로그래머가 되고싶습니다. 잘부탁드립니다!",2024-07-09T06:34:05Z,0,
@도비-n3v,이해하기 쉬운 강의 감사드립니다. 28살 기존 4년 동안 다녔던 직장을 나와서 동종 업계로 가야 하나 많이 고민하다 아직까진 새롭게 흥미 있고 좋아할 수 있는 분야를 도전해 볼 수 있지 않을 까 해서 비 전공자이지만 웹 개발 공부 시작해서 부트 캠프 진행 중인데요.. 역시 어렵더라구요.. 여러 강의를 들어 보는게 좋을 거 같아 조코딩님 강의까지 타고 타고 왔는데 파이썬 입문으로 제일입니다.. 이해가 안되었던 부분들이 점점 풀리고 있어요!,2024-07-09T06:14:53Z,0,
@입닫고빵이나머거,1:37:23,2024-07-09T05:20:47Z,0,
@Ban-s9y,"안녕하세요! 저는 로봇공학과를 전공하면서 c언어나 아두이노 등 한가지의 언어를 한것이 아니라 정말 수박 겉 핥기식으로 밖에 알지 못했는데 조코딩님의 영상을 보면서 공부를 하고있습니다. 일단 파이썬에 대해 기초적인 공부를 탄탄하게 다져둬야될거 같다고 생각이 들어 들었던 부분을 계속 복습하면서 코드도 제 방식대로 짜서 복습을 진행해보면서 공부를 진행중입니다! 기초는 확실이 다져둬야 후반에 가서 기초 때문에 번거롭게 되는건 방지 해야죠. 파이썬에대해 공부 다짐을 말씀 드리자면 매일매일 빠지지않고 영상을 들으면서 공부를 하자, 게을리 하지 않자, 내용(함수,변수등 선언문) 이 많다고 도중 포기하거나 미루지 않기, 내가 이걸 왜 해야될까 보단 파이썬이 재밌다고 생각하면서 계속 시도하기, 영상을 보면서 코딩을 따라하되 개인적으로 노트 필기도 게을리 하지 않기 등 입니다. 계속 진행하고 있습니다! 앞으로도 많은 영상을 시청하면서 공부하겠습니다 감사합니다.",2024-07-09T05:03:45Z,1,
@잉크나라-Howl,"초보 컴퓨터 배우는데!!! 공부시작을 해보고 싶은데!!
책주면 기분도 좋을꺼같은데!!
공부는 조코딩인거같은데!!",2024-07-08T11:29:17Z,0,
@hela486,"휴직하는 동안 파이썬은 정말 배워보고 돌아가자 했는데 이제 3개월 밖에 남지 않았네요. 마지막 기회라고 생각하고 파이썬, 점프 해보겠습니다!!",2024-07-08T08:26:43Z,0,
@leettu-hyunwoo,곧 시험에 나오는데 이거 보고 열심히 복습해보겠습니다!,2024-07-08T04:56:11Z,1,
@seungeene,데이터 분석 공부하면서 파이썬 언어를 배우게 되었습니다. 두마리 토끼 모두 잡도록 열심히 해보겠습니다. 감사합니다.,2024-07-07T23:03:08Z,1,
@hjunjour,"헉 여름방학이라 마침 점프투파이썬 책 도서관에서 빌려서 보고 있다가 조코딩님 강의도 듣게 됐는데 마침 이런 이벤트도 진행한다니요...!!! 원래는 환경 전공인데 데이터 다루려면 코딩이 필요해서 공부하게 되었어요 (사실 조코딩님 먼 과 후배에요 ㅎㅎㅎ!!!). 이제 3장 볼 차례인데, 책을 소장하게 되면 반납할 걱정 없이 편하게 볼 수 있을 것 같아요!! 열공할게요💪 이벤트 감사합니다 :)",2024-07-07T15:45:29Z,0,
@20918이정우,개발자라는 꿈을 뒤늦게 깨달은 고등학생입니다. 학교에는 아직 정보 과목이 개설되지 않아 가장 대중적인 언어인 파이썬을 유튜브 강의를 통해 학습해보자는 생각에서 강의를 찾다가 조코딩님의 강의를 발견하게 되었습니다. 저같이 기본이 부족한 사람들에게도 친절한 강의에 저는 많은 도움을 얻을 수 있었습니다. 만약 제게 교재를 선물해주신다면 선물해주신 그 마음이 아깝지 않도록 열심히 공부해서 좋은 결과로 보답드리겠습니다,2024-07-07T14:13:47Z,6,
@chongminao6702,"고등학생이 뒤늦게 깨달은거라니,
의대를 준비해도 늦지 않은 나이인데",2025-03-16T18:00:43Z,1,@20918이정우
@LGC1228,"개발 직종으로 미래를 그려볼까 하는 한 청년입니다. 적성에 잘 맞으면 좋겠지만, 적성에 잘 맞지 않더라도 결국 프로그래밍 영역은 배워두면 꼭 쓸모가 있을만한 분야라고 생각되어 공부를 열심히 해보려고 합니다! 이렇게 양질의 강의를 무료로 제공해주시어 감사드립니다. 앞으로도 양질의 콘텐츠 기대하겠습니다! 감사합니다!!",2024-07-07T10:30:55Z,0,
@saebo99,국비지원에서 파이썬을 너무 후루루루 나가버려서 진도따라가기 벅찼는데 복습용으로 제격이네요. 감사합니다람쥐,2024-07-07T10:30:09Z,0,
@in3142,"오늘부터 나는 꾸준히 파이썬을 공부하기로 다짐한다. 매일 최소 한 시간 이상 코딩 연습을 할 것이며, 새로운 라이브러리와 모듈을 탐색할 것이다.",2024-07-07T10:19:37Z,0,
@rose_recorder,2:59:17 메소드라고 하시는 걸 보니 자바가 더 익숙하신 🤣,2024-07-07T10:18:55Z,0,
@BLA1NE,Dart 배우는 중인데 너무 좋아서 휴일에 병행하게 되네요.,2024-07-07T08:13:34Z,0,
@wuru4964,"파이썬을 공부하고자 하는 다짐은 크게 두 가지 동기에서 출발합니다. 첫째로, 파이썬은 현대의 가장 강력한 프로그래밍 언어 중 하나로, 데이터 분석, 인공지능, 웹 개발 등 다양한 분야에서 널리 사용되고 있습니다. 이를 통해 데이터 과학의 기초를 다지고, 머신러닝 및 딥러닝 기술을 배우며, 현업에서 바로 활용할 수 있는 기술력을 쌓고자 합니다. 둘째로, 파이썬은 문법이 간결하고 배우기 쉬운 편이어서, 프로그래밍 초보자로서도 빠르게 습득할 수 있을 것으로 기대합니다.

또한, 파이썬의 강력한 커뮤니티와 오픈 소스 생태계도 매력적입니다. 이를 통해 다른 개발자들과 경험을 공유하고 협력할 수 있는 기회를 가질 수 있습니다. 또한, 다양한 온라인 자료와 강의를 통해 지속적인 학습을 계획하며, 특히 데이터 구조, 알고리즘 등 핵심 개념을 깊이 있게 이해하고자 합니다.

끝으로, 파이썬을 통해 개발하는 소프트웨어가 실제로 사용자들에게 가치를 제공하는 경험을 쌓고 싶습니다. 이를 위해 다양한 프로젝트를 진행하며 문제 해결 능력을 기르고, 자신감 있는 개발자가 되기 위한 기반을 다짐합니다.

이 모든 과정을 통해 파이썬을 더 깊이 있게 이해하고, 실무에서 유용하게 활용할 수 있는 능력을 갖추는 것이 최종 목표입니다.",2024-07-07T07:13:30Z,0,
@1104koyeom,조코딩님의 강의와 점프 투 파이썬 교재로 더 나은 미래를 만들어가겠습니다!,2024-07-07T06:30:45Z,3,
@정정-j2s,"챙겨보는 조코딩님 영상들 
그리고 매번 바쁘고 다음에 다음에라고 미뤄왔었는데요 이번에 통합본으로 영상만들어 주셔서 감사합니다!!",2024-07-07T00:44:13Z,0,
@hanakim2678,😂❤,2024-07-06T23:19:54Z,0,
@hanakim2678,IT로 이직계획을 두고 파이썬을 시작해보려고 합니다 이 교재가 있다면 쉽고 빠르게 파이썬에 대한 기초를 잡아나갈 수 있을 것 같습니다 아울러 이 교재와 조코딩님의 티칭을 보면서 공부하고 싶습니다!!😊❤,2024-07-06T23:19:33Z,0,
@oopikolim,ai에 관심있어서 찾다찾다 여기까지왔네요,2024-07-06T18:24:05Z,0,
@용용-g6d,파이썬으로 데이터 분석을 다시 시작해보려고 합니다! 좋은 강의 들려주셔서 감사드려요~,2024-07-06T15:31:46Z,1,
@JJ-st5zh,"문과지만 대학원에 가서 코딩을 처음부터 시작해야 되서 너무 막막했는데 
너무나 감사하게도 이 강의를 보게 되었습니다 
조코딩님 강의 잘 공부해서 파이썬 이용해서 저의 꿈을 잘 펼쳐 보도록 하겠습니다 너무 감사합니다.",2024-07-06T14:22:48Z,0,
@kylekim9079,"컴공 전공을 하지 않았지만, R에 처음 접하여 업무활용해보고자 시작하였지만 실제 업무에 활용하기에는 많은 제약사항이 있더라구요 AI에 관심으로 조코딩님의 영상으로 꾸준히 관심을 가지고 있습니다. 파이썬이 더 쉽게 학습할 수 있도록 도와주셔서 감사드리며, 점프 투 파이썬으로 한층 더 상숙해지고 싶네요!!",2024-07-06T13:26:25Z,0,
@kkignkang,"안녕하세요? 먼저 좋은 강의 감사 드립니다.
다름이 아니라
환갑을 넘긴 노학도로서 파이썬 기초강의를 듣고 샘플 실행화일을 만들어 며칠 사용중,
바이러스 감염 경보와 함께 치료하면 화일이 삭제 되는 경우가 발생이 되었습니다.
보유중인 몇개의 화일도 마찬가지로 실행하면 감염경보 > 치료 > 삭제 되구요
추가로 실행화일을 생성하여 실행 해보니
마찬가지로 감염경보 > 치료 > 삭제 됩니다.
평소 코딩에 관심이 많아서 늦은 나이지만 시작을 했는데
복병을 만났습니다.... 웹상에 정보를 찾아봐도 딱히 없어서
고수님께 도움을 요청 드립니다.  
부디 도움을 주시기 바랍니다.^^:",2024-07-06T12:33:48Z,2,
@오이우잉오오,"사내연애 이별하고, 폐인처럼 살기 싫어서 뭐라도 해야할 것 같아서 파이썬을 시작해보려고 합니다
훗날 개발자의 길을 갈 수도 있다고 생각하기 때문에 열심히 해보려고 합니다.

소중한 강의 감사합니다.",2024-07-06T11:18:26Z,0,
@마앙,컴퓨터공학부 들어가고 군대를 다녀오고 2학년인 지금 아는게 하나도 없는 코딩... 그중에서도 파이썬을 최신버전으로 맛있게 먹겠습니다. 감사합니다.,2024-07-06T09:24:15Z,0,
@luckyguy2077,2학기때 파이썬 수업 듣는데 미리 예습 할려고 합니다. 여름 방학때 꼭 강의 착실히 수강해서 2학기 전공 기초 강의 꼭 A+ 학점 받겠습니다.,2024-07-06T09:16:25Z,0,
