video_id,comment_id,author,content,parent_comment_id,likes,created_time,collection_time,valid_from_time,valid_to_time
yytWGELNeOI,UgxM8e1_rSJlhSPwOER4AaABAg,@jololight8979,영상잘보고갑니다 파이썬 관심있는데 저같은 초보자가 입문하기에 이해도 잘되고 좋네요. 기초적인 부분이 중요하다 생각됬는데 좋은 영상 제공해주셔서 감사합니다.,,4,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxOTaLQ0bKPZNuN0Zx4AaABAg,@leeminseok1,입문자에게 진짜 좋은 강의입니다ㅠㅠ 시간되면 라이브방송도 꼭 볼게요! 감사합니다~,,29,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxCcQVpSSxLNJA_ekV4AaABAg,@장하늘-m7y,코딩 강의는 딱딱한경우가 많았는데 너무 편안해요!! 진짜 좋은 채널입니다,,10,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxPlP2egYg87TAjQzd4AaABAg,@냥이-t2f,저도 이제 it  하는데 무서운 대학생 형들이랑 하는데 저만 모를까봐 걱정 됬는데 보니까 쉽기도하고 자신감이 생기네요 감사 합니다 ㅠㅠ,,1,3년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugxci1o2afphFFCvN3l4AaABAg,@soonmoo,"파이썬의 유래까지...ㄷ
무료 설명 너무 감사합니다!",,15,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgzN5Kh1MGDredC66r94AaABAg,@리-g9c,압도적 감사...,,1,3년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugw9-NbGLbXU31DNXJV4AaABAg,@yul_log,내일부터 퇴근 후 파이썬 공부시작해야겠어요 :) 아직 뭔지 정확히 이해하지 못했지만 잘 따라가보겠습니다 ! 좋은영상감사해요 ☺☺,,4,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugwl2jhYzGUeOL1CuOp4AaABAg,@TV-so7ol,라이브 버전 잘 보고 있습니다. ^^ 책 구매했고 열심히 따라 배우겠습니다. 너무 감사합니다.,,3,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxbOO4koD888pRhbZh4AaABAg,@gusdk6196,조코딩님 덕분에 파이썬 공부 시작했습니다  교재만 구입하고 JAVA 전공만 복습하고 있었는데 이해가 쏙쏙 되고 너무 재밌어요 :),,4,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxujNIo9cJT7nWSzvB4AaABAg,@gohomefire,잘 배우고 갑니다. 멋진 강의 감사합니다 ^^,,2,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgwfzDA65QRDz14mqLx4AaABAg,@도토리-x2g,비싼 돈내고 듣는 기초 파이썬 강의보다 훨신 유익하고 좋네요  응원할게요,,3,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxHitFfxvCFctX-p5t4AaABAg,@rmteltmtmnc,19:09 시간 없으신 분들을 위한 요약,,9,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgyeJsauq5DJOiFX_vN4AaABAg,@목소리로밑줄긋는여자,"파이썬 배워보려고 필요성부터 차근차근 듣고 있습니다. 
좋은 강의 감사합니다",,1,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugy-sf29AG6CefaIMdx4AaABAg,@010-q3k,감사합니다. 정말감사합니다 구독 누르고 갑니다 ㅠㅠ ㅋㅋㅋㅋ,,2,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgwPqh02-hZDtxvIsrB4AaABAg,@민스스-e9s,쉽고 재밌어요ㅎㅎ 좋은 강의 감사합니다~,,2,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxT3JhXicGApB_Mg0F4AaABAg,@hyeonokyoo1322,친절한 강의 고맙습니다!,,1,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgzPus4WLc1W_0Cn1A54AaABAg,@kimjin9349,"원래는 조코딩님 꺼 보고 했었는데,, 조금 용기내서 패캠들으러 갔다가 우울해져서 조코딩느님한테 오니깐 이제야 행복해지네요ㅠㅠㅠ ,,,, 조코딩느님 화이팅 코로나 조심하세요 ~",,13,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxfaFTlcV2hNnUNj8l4AaABAg,@한재윤-x9f,조코딩님 감사합니다.,,2,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgyRb4p4cmXKbIQVJKN4AaABAg,@black_hole2024,좋은 자료 감사합니다.,,1,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgzRjGVfUoztja9tEfJ4AaABAg,@정주현-f4m,프로그래밍 1도 모르는 입문자인데 이렇게 파이썬을 쉽게 따라하게 해주셔서 너무 감사드려요 ㅠㅠㅠㅠ 심지어 무료라니 ㅠㅠ 열심히 배우겠습니다!!,,12,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxoVPkUhHqOpjz5zex4AaABAg,@taejeongjang9089,좋은 강의 넘 감사합니다. 이해가기 쉬워서 초보자가 듣기에 부담이 없어요,,0,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgxoqlFwKzhk9wYjtkB4AaABAg,@꿀피부-d6v,감사합니다. 코알못 덕분에 코딩 입문해봅니다!!!,,1,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugyji5A9NvwxrNCkxaV4AaABAg,@byuv_,초6인데 너무 쉽게 이해됩니다!,,1,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgyEGUkbgo74dCArRuN4AaABAg,@ytgift,제 진로가 빅데이터 쪽인데 코딩언어에 대한 이해가 거의 없었는데 유익한 영상 감사합니다! 덕분에 많은 도움이 되었습니다 ㅎㅎ,,5,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,UgwIVJmzPQ0hfjsVhA94AaABAg,@Ben-ec9qc,17:53 역시 조코딩님도 자본주의에는 약했다 ㅋㅋㅋㅋㅋ,,15,4년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
yytWGELNeOI,Ugzq0MbQkILgMvWjInl4AaABAg,@pingpongking,"파이썬 쉽고 좋네요
구독했습니다.",,1,5년 전,2025-11-26 17:44:08,2025-11-26 17:44:08,
